DataType,TypeId
INTEGER,33
UNSIGNEDINT,34
LONG,35
UNSIGNEDLONG,36
HEXBINARY,39
STRING,40
BOOLEAN,41
UNSIGNEDBYTE,43
SHORT,44
UNSIGNEDSHORT,45
DATETIME,290
DATETIMEMSEC,548
IPV4ADDR,802
IPV6ADDR,1063
MACADDRESS,1827
